2017 Data:
IncomeTaxExpenseBenefit: 769000000
IncomeTaxExpenseBenefit: 16000000
IncomeTaxesPaidNet: 273000000
IncomeTaxesPaidNet: 412000000
IncomeTaxesPaidNet: 957000000
IncomeTaxReconciliationDeductionsQualifiedProductionActivities: 44000000
IncomeTaxReconciliationDeductionsQualifiedProductionActivities: 94000000
IncomeTaxReconciliationDeductionsQualifiedProductionActivities: 0
IncomeTaxReconciliationForeignIncomeTaxRateDifferential: 350000000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential: -69000000
IncomeTaxReconciliationForeignIncomeTaxRateDifferential: 1178000000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate: 549000000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate: 1362000000
IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate: 1332000000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost: 149000000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost: 189000000
IncomeTaxReconciliationNondeductibleExpenseShareBasedCompensationCost: -917000000
IncomeTaxReconciliationOtherAdjustments: 8000000
IncomeTaxReconciliationOtherAdjustments: 46000000
IncomeTaxReconciliationOtherAdjustments: 71000000
IncomeTaxReconciliationStateAndLocalIncomeTaxes: 37000000
IncomeTaxReconciliationStateAndLocalIncomeTaxes: 110000000
IncomeTaxReconciliationStateAndLocalIncomeTaxes: 114000000
IncomeTaxReconciliationTaxCredits: 99000000
IncomeTaxReconciliationTaxCredits: 119000000
IncomeTaxReconciliationTaxCredits: 220000000
IncreaseDecreaseInAccountsPayable: 4294000000
IncreaseDecreaseInAccountsPayable: 5030000000
IncreaseDecreaseInAccountsPayable: 7175000000
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets: 1755000000
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets: 3367000000
IncreaseDecreaseInAccountsReceivableAndOtherOperatingAssets: 4786000000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities: 913000000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities: 1724000000
IncreaseDecreaseInAccruedLiabilitiesAndOtherOperatingLiabilities: 283000000
IncreaseDecreaseInDeferredRevenue: 1292000000
IncreaseDecreaseInDeferredRevenue: 1955000000
IncreaseDecreaseInDeferredRevenue: 738000000
IncreaseDecreaseInInventories: 2187000000
IncreaseDecreaseInInventories: 1426000000
IncreaseDecreaseInInventories: 3583000000
IntangibleAssetsGrossExcludingGoodwill: 1900000000
IntangibleAssetsGrossExcludingGoodwill: 4422000000
IntangibleAssetsNetExcludingGoodwill: 854000000
IntangibleAssetsNetExcludingGoodwill: 3371000000
InterestExpense: 459000000
InterestExpense: 484000000
InterestExpense: 848000000
InventoryNet: 11461000000
InventoryNet: 16047000000
InvestmentIncomeInterest: 50000000
InvestmentIncomeInterest: 100000000
InvestmentIncomeInterest: 202000000
LeaseAndRentalExpense: 1100000000
LeaseAndRentalExpense: 1400000000
LeaseAndRentalExpense: 2200000000
LiabilitiesAndStockholdersEquity: 83402000000
LiabilitiesAndStockholdersEquity: 131310000000
LiabilitiesCurrent: 43816000000
LiabilitiesCurrent: 57883000000
LongTermDebt: 8838000000
LongTermDebt: 24942000000
LongTermDebtCurrent: 1056000000
LongTermDebtCurrent: 100000000
LongTermDebtMaturitiesRepaymentsOfPrincipalAfterYearFive: 20000000000
LongTermDebtMaturitiesRepaymentsOfPrincipalInNextTwelveMonths: 100000000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFive: 1250000000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearFour: 1000000000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearThree: 1258000000
LongTermDebtMaturitiesRepaymentsOfPrincipalInYearTwo: 1334000000
LongTermDebtNoncurrent: 7694000000
LongTermDebtNoncurrent: 24743000000
MarketableSecuritiesCurrent: 6647000000
MarketableSecuritiesCurrent: 10464000000
MarketableSecuritiesRealizedGainLoss: -5000000
MarketableSecuritiesRealizedGainLoss: -8000000
MarketableSecuritiesRealizedGainLoss: -7000000
MarketingExpense: 5254000000
MarketingExpense: 7233000000
MarketingExpense: 10069000000
NetCashProvidedByUsedInFinancingActivities: -3882000000
NetCashProvidedByUsedInFinancingActivities: -3740000000
NetCashProvidedByUsedInFinancingActivities: 9860000000
NetCashProvidedByUsedInInvestingActivities: -6450000000
NetCashProvidedByUsedInInvestingActivities: -9876000000
NetCashProvidedByUsedInInvestingActivities: -27819000000
NetCashProvidedByUsedInOperatingActivities: 12039000000
NetCashProvidedByUsedInOperatingActivities: 17272000000
NetCashProvidedByUsedInOperatingActivities: 18434000000
NetIncomeLoss: 596000000
NetIncomeLoss: 513000000
NetIncomeLoss: 857000000
NetIncomeLoss: 252000000
